Metric,Outbreak_Mean,Outbreak_Std,Control_Mean,Control_Std,P_Value,Is_Significant,Effect_Size
num_pigs_lying_value_at_removal,12.440408877893944,3.253810479188092,11.015235732129732,3.6638767442728746,0.14753058394613922,False,0.3978007576670675
num_pigs_lying_1d_window_avg,12.420039538587515,3.17266490899135,10.927337344392908,3.6665054703031683,0.10995551885153602,False,0.4181668453924626
num_pigs_lying_3d_window_avg,12.416134924508398,3.0576525322398043,10.69233697308943,3.646969729420326,0.051945398041468464,False,0.48794759309442154
num_pigs_lying_5d_window_avg,12.37304941403363,3.046678824667826,10.509085359277409,3.643822616511523,0.03976816863521114,True,0.5283033163769282
num_pigs_lying_7d_window_avg,12.253580047778053,3.060108731364706,10.361626776895612,3.625731263623327,0.03976816863521114,True,0.53812436178501
num_pigs_lying_1d_window_slope,0.042509925509070394,0.6327978817418327,0.18344011353771653,0.4031348686367202,0.19164453632098077,False,0.3061556258587476
num_pigs_lying_3d_window_slope,0.0025690287034409428,0.45308531063383006,0.23378089897882365,0.3989462657099218,0.0369636210657715,True,0.562874448413583
num_pigs_lying_5d_window_slope,0.03843498215894066,0.2623392150168561,0.1901779609939628,0.3302104890884226,0.06168627631127335,False,0.478201656555039
num_pigs_lying_7d_window_slope,0.09244424391286746,0.16064449250988028,0.14735143688185884,0.2917514368750806,0.22410712757514417,False,0.2034872816478095
num_pigs_lying_abs_change_1d,0.04250992550907041,0.6327978817418329,0.18344011353771658,0.40313486863672027,0.19164453632098077,False,0.3061556258587477
num_pigs_lying_abs_change_3d,0.033124762194541614,1.3312795618474467,0.6548060431818552,1.082301669829863,0.06488763617650732,False,0.5460707188542512
num_pigs_lying_abs_change_5d,0.24827523194775036,1.1769270583000022,0.8956421113647978,1.3380203966383557,0.05762224388461678,False,0.49560296599115555
num_pigs_lying_abs_change_7d,0.7001322203316076,1.3122096201962423,1.1671320269249004,1.7043595404673733,0.09421744946301172,False,0.2871688153699655
